dataset_name,json_path,source_field_name,normalized_field_name,json_value_types,occurrences,preferred_yaml_files,matched_yaml_file,matched_yaml_path,description,title,openapi_type,openapi_format,enum,all_source_field_names,all_candidate_yaml_files,all_candidate_descriptions
analytics_sales_funnel,data,data,data,"{""object"": 1}",1,"[""11-analytics.yaml""]",11-analytics.yaml,paths./api/analytics/v3/sales-funnel/products.post.responses.200.content.application/json.schema.properties.data.allOf.[0],Statistics,,object,,[],"[""data""]","[""01-general.yaml"", ""02-items.yaml"", ""03-orders-fbs.yaml"", ""04-orders-dbw.yaml"", ""05-orders-dbs.yaml"", ""06-in-store-pickup.yaml"", ""08-promotion.yaml"", ""09-communications.yaml"", ""11-analytics.yaml"", ""12-reports.yaml""]","[""News data"", ""Categories and subcategories"", ""Data"", ""List of values for sex characteristic."", ""Array of values for season characteristic"", ""An array of generated SKUs"", ""Links to images in the order that they are on the listing, and a video at any position of the array"", ""Response data"", ""Error data"", ""Additional error data"", ""Additional data enriching the error"", ""Data about items and their recommendations"", ""Дополнительные данные ошибки"", ""Additional data for the error"", ""Request data"", ""Number of questions"", ""Number of feedbacks"", ""List of `pinId` — pinning operations IDs of unpinned feedback"", ""Feedback number"", ""Statistics"", ""Notification that report generation has started."", ""Notification that report re-generation has started"", ""Brands list"", ""Brand categories""]"
analytics_sales_funnel,data.currency,currency,currency,"{""string"": 1}",1,"[""11-analytics.yaml""]",12-reports.yaml,components.responses.SuccessTaskResponse.content.application/json.schema.properties.details.items.properties.currency,Currency,,string,,[],"[""currency""]","[""12-reports.yaml"", ""13-finances.yaml""]","[""Currency"", ""Report currency""]"
analytics_sales_funnel,data.products,products,products,"{""array"": 1}",1,"[""11-analytics.yaml""]",11-analytics.yaml,components.schemas.TableDetailsResponse.properties.products,List of items in a group by filter,,array,,[],"[""products""]","[""11-analytics.yaml""]","[""List of items in a group by filter"", ""List of listings""]"
analytics_sales_funnel,data.products[],products,products,"{""object"": 1}",1,"[""11-analytics.yaml""]",11-analytics.yaml,components.schemas.TableDetailsResponse.properties.products,List of items in a group by filter,,array,,[],"[""products""]","[""11-analytics.yaml""]","[""List of items in a group by filter"", ""List of listings""]"
analytics_sales_funnel,data.products[].product,product,product,"{""object"": 1}",1,"[""11-analytics.yaml""]",11-analytics.yaml,components.schemas.ItemsResponse.properties.products.items.properties.product.allOf.[0],Listing,,object,,[],"[""product""]","[""03-orders-fbs.yaml"", ""11-analytics.yaml""]","[""Информация о товаре"", ""Listing""]"
analytics_sales_funnel,data.products[].product.brandName,brandName,brand_name,"{""string"": 1}",1,"[""11-analytics.yaml""]",11-analytics.yaml,components.schemas.TableGroupItem.properties.brandName,Brand,,string,,[],"[""brandName"", ""brand_name""]","[""02-items.yaml"", ""09-communications.yaml"", ""11-analytics.yaml"", ""13-finances.yaml""]","[""Brand"", ""Brand name"", ""Item brand"", ""Item name""]"
analytics_sales_funnel,data.products[].product.feedbackRating,feedbackRating,feedback_rating,"{""number"": 1}",1,"[""11-analytics.yaml""]",11-analytics.yaml,components.schemas.TableItemItem.allOf.[0].properties.feedbackRating,Feedbacks rating,,number,float64,[],"[""feedbackRating""]","[""11-analytics.yaml""]","[""Feedbacks rating"", ""Feedback rating""]"
analytics_sales_funnel,data.products[].product.nmId,nmId,nm_id,"{""integer"": 1}",1,"[""11-analytics.yaml""]",11-analytics.yaml,components.schemas.TableItemItem.allOf.[0].properties.nmId,WB item number,,integer,int64,[],"[""nmID"", ""nmId"", ""nm_id""]","[""02-items.yaml"", ""03-orders-fbs.yaml"", ""04-orders-dbw.yaml"", ""05-orders-dbs.yaml"", ""06-in-store-pickup.yaml"", ""07-orders-fbw.yaml"", ""08-promotion.yaml"", ""09-communications.yaml"", ""11-analytics.yaml"", ""12-reports.yaml"", ""13-finances.yaml""]","[""WB item number"", ""WB item number for next listing page"", ""Wildberries item number"", ""Артикул WB"", ""WB item number ID"", ""WB article number"", ""Wildberries article number""]"
analytics_sales_funnel,data.products[].product.productRating,productRating,product_rating,"{""number"": 1}",1,"[""11-analytics.yaml""]",11-analytics.yaml,components.schemas.Item.properties.productRating,Item rating,,number,float32,[],"[""productRating""]","[""11-analytics.yaml""]","[""Item rating""]"
analytics_sales_funnel,data.products[].product.stocks,stocks,stocks,"{""object"": 1}",1,"[""11-analytics.yaml""]",11-analytics.yaml,components.schemas.Item.properties.stocks,Inventory,,object,,[],"[""stocks""]","[""02-items.yaml"", ""11-analytics.yaml""]","[""Array of size IDs and amounts"", ""Inventory""]"
