dataset_name,main_record_path,record_count,field_path,suggested_column_name,json_types,non_null_count,null_or_missing_count,suggested_sql_type,examples
analytics_sales_funnel,data.products,1,product.brandName,product_brand_name,string,1,0,text,"""ручей"""
analytics_sales_funnel,data.products,1,product.feedbackRating,product_feedback_rating,number,1,0,numeric,899.26
analytics_sales_funnel,data.products,1,product.nmId,product_nm_id,integer,1,0,bigint,54050449
analytics_sales_funnel,data.products,1,product.productRating,product_product_rating,number,1,0,numeric,609.55
analytics_sales_funnel,data.products,1,product.stocks.balanceSum,product_stocks_balance_sum,integer,1,0,bigint,1319
analytics_sales_funnel,data.products,1,product.stocks.mp,product_stocks_mp,integer,1,0,bigint,21
analytics_sales_funnel,data.products,1,product.stocks.wb,product_stocks_wb,integer,1,0,bigint,270
analytics_sales_funnel,data.products,1,product.subjectId,product_subject_id,integer,1,0,bigint,895
analytics_sales_funnel,data.products,1,product.subjectName,product_subject_name,string,1,0,text,"""расстройство"""
analytics_sales_funnel,data.products,1,product.tags,product_tags,array,1,0,jsonb,"[{""id"": 695, ""name"": ""сынок""}, {""id"": 995, ""name"": ""полоска""}, {""id"": 810, ""name"": ""самостоятельно""}]"
analytics_sales_funnel,data.products,1,product.title,product_title,string,1,0,text,"""предоставить"""
analytics_sales_funnel,data.products,1,product.vendorCode,product_vendor_code,string,1,0,text,"""art-6599"""
analytics_sales_funnel,data.products,1,statistic.comparison.addToWishlistDynamic,statistic_comparison_add_to_wishlist_dynamic,integer,1,0,bigint,156
analytics_sales_funnel,data.products,1,statistic.comparison.avgOrdersCountPerDayDynamic,statistic_comparison_avg_orders_count_per_day_dynamic,integer,1,0,bigint,554
analytics_sales_funnel,data.products,1,statistic.comparison.avgPriceDynamic,statistic_comparison_avg_price_dynamic,integer,1,0,bigint,5719
analytics_sales_funnel,data.products,1,statistic.comparison.buyoutCountDynamic,statistic_comparison_buyout_count_dynamic,integer,1,0,bigint,890
analytics_sales_funnel,data.products,1,statistic.comparison.buyoutSumDynamic,statistic_comparison_buyout_sum_dynamic,integer,1,0,bigint,5719
analytics_sales_funnel,data.products,1,statistic.comparison.cancelCountDynamic,statistic_comparison_cancel_count_dynamic,integer,1,0,bigint,757
analytics_sales_funnel,data.products,1,statistic.comparison.cancelSumDynamic,statistic_comparison_cancel_sum_dynamic,integer,1,0,bigint,5719
analytics_sales_funnel,data.products,1,statistic.comparison.cartCountDynamic,statistic_comparison_cart_count_dynamic,integer,1,0,bigint,6
analytics_sales_funnel,data.products,1,statistic.comparison.conversions.addToCartPercent,statistic_comparison_conversions_add_to_cart_percent,integer,1,0,bigint,448
